"uf","regiao","ano","idade","Óbitos descons. durante a gravidez, parto ou aborto   (exceto externos)","Óbitos descons. durante o puerpério, até 42 dias   (exceto externos)","Óbitos descons. durante o puerpério, de 43 dias a menos de 1 ano   (exceto externos)","Óbitos descons. período inconsistente   (exceto externos)","Óbitos descons. durante a gravidez, parto ou aborto   (externos)","Óbitos descons. durante o puerpério, até 42 dias   (externos)","Óbitos descons. durante o puerpério, de 43 dias a menos de 1 ano   (externos)","Óbitos descons. período inconsistente   (externos)"
"AC","Norte","1996",17,1,0,0,0,0,0,0,0
"AC","Norte","1996",18,2,0,0,0,0,0,0,0
"AC","Norte","1996",29,0,0,0,0,1,0,0,0
"AC","Norte","1996",33,1,0,0,0,0,0,0,0
"AC","Norte","1996",36,0,0,0,0,1,0,0,0
"AC","Norte","1996",40,1,0,0,0,0,0,0,0
"AC","Norte","1997",31,1,0,0,0,0,0,0,0
"AC","Norte","1998",14,1,0,0,0,0,0,0,0
"AC","Norte","1998",18,0,0,0,0,1,0,0,0
"AC","Norte","1998",23,1,0,0,0,0,0,0,0
"AC","Norte","1999",16,0,0,0,0,1,0,0,0
"AC","Norte","1999",17,1,0,0,0,1,0,0,0
"AC","Norte","1999",18,1,0,0,0,0,0,0,0
"AC","Norte","1999",22,1,0,0,0,0,0,0,0
"AC","Norte","1999",23,1,0,0,0,0,0,0,0
"AC","Norte","1999",25,0,0,0,0,1,0,0,0
"AC","Norte","1999",27,1,0,0,0,0,0,0,0
"AC","Norte","1999",29,2,0,0,0,0,0,0,0
"AC","Norte","1999",32,1,0,0,0,0,0,0,0
"AC","Norte","1999",37,1,0,0,0,0,0,0,0
"AC","Norte","1999",38,1,0,0,0,0,0,0,0
"AC","Norte","1999",40,1,0,0,0,0,0,0,0
"AC","Norte","1999",41,1,0,0,0,0,0,0,0
"AC","Norte","1999",44,1,0,0,0,0,0,0,0
"AC","Norte","2000",20,0,0,0,0,1,0,0,0
"AC","Norte","2000",32,1,0,1,0,0,0,0,0
"AC","Norte","2000",38,1,0,0,0,0,0,0,0
"AC","Norte","2000",41,1,0,0,0,0,0,0,0
"AC","Norte","2000",43,1,0,0,0,0,0,0,0
"AC","Norte","2001",26,1,0,0,0,0,0,0,0
"AC","Norte","2002",27,0,0,0,1,0,0,0,0
"AC","Norte","2002",32,0,0,1,0,0,0,0,0
"AC","Norte","2003",18,1,0,0,0,0,0,0,0
"AC","Norte","2003",26,0,0,0,1,0,0,0,0
"AC","Norte","2004",27,1,1,0,0,0,0,0,0
"AC","Norte","2004",28,0,1,0,0,0,0,0,0
"AC","Norte","2004",38,1,0,0,0,0,0,0,0
"AC","Norte","2004",39,0,0,1,0,0,0,0,0
"AC","Norte","2005",14,0,0,1,0,0,0,0,0
"AC","Norte","2005",18,0,0,0,0,0,0,1,0
"AC","Norte","2005",23,0,0,0,0,1,0,0,0
"AC","Norte","2005",25,0,1,0,0,0,0,0,0
"AC","Norte","2005",27,0,0,1,0,0,0,0,0
"AC","Norte","2005",31,0,0,0,1,0,0,0,0
"AC","Norte","2006",20,1,0,0,0,0,0,0,0
"AC","Norte","2006",26,1,0,0,0,0,0,0,0
"AC","Norte","2006",29,1,0,0,0,0,0,0,0
"AC","Norte","2006",30,0,0,0,0,0,0,1,0
"AC","Norte","2006",31,1,0,0,0,0,0,0,0
"AC","Norte","2006",39,0,0,0,0,1,0,0,0
"AC","Norte","2006",42,2,0,1,0,0,0,0,0
"AC","Norte","2006",45,1,0,0,0,0,0,0,0
"AC","Norte","2006",53,0,0,1,0,0,0,0,0
"AC","Norte","2006",65,1,0,0,0,0,0,0,0
"AC","Norte","2007",12,0,0,0,0,1,0,0,0
"AC","Norte","2007",15,0,0,0,0,1,0,0,0
"AC","Norte","2007",21,0,0,0,0,0,0,1,0
"AC","Norte","2007",24,0,1,0,0,0,0,0,0
"AC","Norte","2007",26,0,0,1,0,0,0,0,0
"AC","Norte","2007",28,0,0,0,0,1,0,1,0
"AC","Norte","2007",30,0,1,0,0,0,0,0,0
"AC","Norte","2007",37,1,0,0,0,0,0,0,0
"AC","Norte","2007",45,0,0,1,0,0,0,0,0
"AC","Norte","2007",47,0,0,1,0,0,0,0,0
"AC","Norte","2007",49,1,0,0,0,0,0,0,0
"AC","Norte","2008",13,0,0,1,0,0,0,0,0
"AC","Norte","2008",15,0,1,0,0,0,0,0,0
"AC","Norte","2008",18,0,0,0,0,0,0,1,0
"AC","Norte","2008",19,0,1,0,0,0,0,0,0
"AC","Norte","2008",20,0,1,0,0,0,0,0,0
"AC","Norte","2008",23,0,1,0,0,0,0,0,0
"AC","Norte","2008",26,0,0,0,1,0,0,0,0
"AC","Norte","2008",27,2,0,0,0,1,0,0,0
"AC","Norte","2008",30,1,0,0,0,0,0,0,0
"AC","Norte","2008",31,0,0,0,0,0,0,1,0
"AC","Norte","2008",44,1,0,0,0,0,0,0,0
"AC","Norte","2008",48,1,0,1,0,0,0,0,0
"AC","Norte","2008",49,1,0,0,0,0,0,0,0
"AC","Norte","2008",51,0,0,1,0,0,0,0,0
"AC","Norte","2008",53,1,0,0,0,0,0,0,0
"AC","Norte","2009",0,0,0,3,0,0,0,0,0
"AC","Norte","2009",15,1,0,0,0,0,0,0,0
"AC","Norte","2009",16,0,0,1,0,0,0,0,0
"AC","Norte","2009",20,0,1,0,0,0,0,0,0
"AC","Norte","2009",22,0,2,0,0,0,0,0,0
"AC","Norte","2009",25,0,0,0,0,1,0,0,0
"AC","Norte","2009",33,0,2,0,0,0,0,0,0
"AC","Norte","2009",36,1,0,0,0,0,0,0,0
"AC","Norte","2009",37,1,0,0,0,0,0,0,0
"AC","Norte","2009",39,1,0,0,0,0,0,0,0
"AC","Norte","2009",52,0,0,2,0,0,0,0,0
"AC","Norte","2009",53,0,0,1,0,0,0,0,0
"AC","Norte","2009",54,1,0,0,0,0,0,0,0
"AC","Norte","2009",62,1,0,0,0,0,0,0,0
"AC","Norte","2010",11,0,0,1,0,0,0,0,0
"AC","Norte","2010",16,1,1,0,0,0,0,0,0
"AC","Norte","2010",20,1,0,0,0,0,0,0,0
"AC","Norte","2010",21,1,0,0,0,0,0,0,0
"AC","Norte","2010",27,1,0,0,0,0,0,0,0
"AC","Norte","2010",29,1,0,0,0,0,0,0,0
"AC","Norte","2010",35,1,0,0,0,0,0,0,0
"AC","Norte","2010",45,0,0,1,0,0,0,0,0
"AC","Norte","2010",57,0,0,1,0,0,0,0,0
"AC","Norte","2011",0,0,0,1,0,0,0,0,0
"AC","Norte","2011",17,0,1,0,0,0,0,0,0
"AC","Norte","2011",31,0,1,0,0,0,0,0,0
"AC","Norte","2011",33,0,0,1,0,0,0,0,0
"AC","Norte","2011",37,2,0,0,0,0,0,0,0
"AC","Norte","2011",59,1,0,0,0,0,0,0,0
"AC","Norte","2012",17,0,0,0,0,1,0,0,0
"AC","Norte","2012",21,0,0,2,0,0,0,0,0
"AC","Norte","2012",23,0,0,0,0,1,0,0,0
"AC","Norte","2012",26,0,0,1,0,0,0,0,0
"AC","Norte","2012",29,0,1,0,0,0,0,0,0
"AC","Norte","2012",31,1,0,0,0,0,0,0,0
"AC","Norte","2012",33,1,0,0,0,0,0,0,0
"AC","Norte","2012",35,0,0,1,0,0,0,0,0
"AC","Norte","2012",37,0,1,0,0,0,0,0,0
"AC","Norte","2012",38,0,0,1,0,0,0,0,0
"AC","Norte","2012",53,0,0,1,0,0,0,0,0
"AC","Norte","2013",0,0,1,0,0,0,0,0,0
"AC","Norte","2013",14,0,0,0,0,1,0,0,0
"AC","Norte","2013",17,1,0,0,0,0,0,0,0
"AC","Norte","2013",18,0,0,1,0,0,0,0,0
"AC","Norte","2013",31,0,0,2,0,0,0,0,0
"AC","Norte","2013",35,0,0,1,0,0,0,0,0
"AC","Norte","2013",37,0,0,0,0,1,0,0,0
"AC","Norte","2013",42,0,1,0,0,0,0,0,0
"AC","Norte","2014",22,0,0,0,0,1,0,0,0
"AC","Norte","2014",25,0,0,0,0,1,0,0,0
"AC","Norte","2014",50,1,0,0,0,0,0,0,0
"AC","Norte","2014",54,1,0,0,0,0,0,0,0
"AC","Norte","2015",0,0,1,0,0,0,0,0,0
"AC","Norte","2015",17,1,0,0,0,0,0,0,0
"AC","Norte","2015",25,0,1,0,0,0,0,0,0
"AC","Norte","2015",29,0,0,0,0,0,1,0,0
"AC","Norte","2016",0,1,2,0,0,0,0,0,0
"AC","Norte","2016",29,1,0,0,0,0,0,0,0
"AC","Norte","2016",35,0,1,0,0,0,0,0,0
"AC","Norte","2016",50,0,0,1,0,0,0,0,0
"AC","Norte","2016",60,1,0,0,0,0,0,0,0
"AC","Norte","2017",0,1,0,0,0,0,0,0,0
"AC","Norte","2017",23,0,0,0,0,1,0,0,0
"AC","Norte","2017",26,0,0,0,0,1,0,0,0
"AC","Norte","2017",29,0,0,1,0,0,0,0,0
"AC","Norte","2018",18,0,0,1,0,0,0,0,0
"AC","Norte","2018",24,0,1,0,0,0,0,0,0
"AC","Norte","2018",32,1,0,0,0,0,0,0,0
"AC","Norte","2018",33,0,1,0,0,0,0,0,0
"AC","Norte","2018",35,0,0,1,0,0,0,0,0
"AC","Norte","2018",36,0,0,1,0,0,0,0,0
"AC","Norte","2018",52,1,0,0,0,0,0,0,0
"AC","Norte","2019",14,0,0,0,0,1,0,0,0
"AC","Norte","2019",17,0,0,0,0,1,0,0,0
"AC","Norte","2019",18,0,0,1,0,0,0,0,0
"AC","Norte","2019",29,0,1,0,0,0,1,0,0
"AC","Norte","2019",32,0,1,0,0,0,0,0,0
"AC","Norte","2019",34,0,0,1,0,0,0,0,0
"AC","Norte","2019",57,1,0,0,0,0,0,0,0
"AC","Norte","2020",0,0,0,1,0,0,0,0,0
"AC","Norte","2020",19,0,1,0,0,1,0,0,0
"AC","Norte","2020",30,0,0,1,0,0,0,0,0
"AC","Norte","2020",34,0,1,1,0,0,0,0,0
"AC","Norte","2020",35,0,0,1,0,0,0,0,0
"AC","Norte","2020",41,0,1,0,0,0,0,0,0
"AC","Norte","2020",53,2,0,0,0,0,0,0,0
"AC","Norte","2020",60,2,0,0,0,0,0,0,0
"AC","Norte","2020",64,1,0,1,0,0,0,0,0
"AC","Norte","2021",20,0,0,0,0,1,0,0,0
"AC","Norte","2021",22,0,2,0,0,0,0,0,0
"AC","Norte","2021",24,0,0,1,0,0,0,0,0
"AC","Norte","2021",26,0,1,0,0,0,0,0,0
"AC","Norte","2021",27,0,1,0,0,0,0,0,0
"AC","Norte","2021",30,1,1,0,0,0,0,0,0
"AC","Norte","2021",31,1,0,1,0,0,0,0,0
"AC","Norte","2021",38,1,0,0,0,0,0,0,0
"AC","Norte","2021",39,0,1,0,0,0,0,0,0
"AC","Norte","2021",40,0,1,0,0,0,0,0,0
"AC","Norte","2021",42,1,0,0,0,0,0,0,0
"AC","Norte","2021",51,1,0,0,0,0,0,0,0
"AC","Norte","2021",56,1,0,0,0,0,0,0,0
"AC","Norte","2021",61,1,0,0,0,0,0,0,0
"AC","Norte","2021",62,1,0,0,0,0,0,0,0
"AC","Norte","2021",64,1,0,0,0,0,0,0,0
"AC","Norte","2022",16,1,0,0,0,0,0,0,0
"AC","Norte","2022",26,0,1,0,0,0,0,0,0
"AC","Norte","2022",34,1,0,0,0,0,0,0,0
"AC","Norte","2022",55,1,0,0,0,0,0,0,0
"AL","Nordeste","1996",18,2,0,0,0,0,0,0,0
"AL","Nordeste","1996",32,0,0,0,0,1,0,0,0
"AL","Nordeste","1996",35,1,0,0,0,0,0,0,0
"AL","Nordeste","1996",38,1,0,0,0,0,0,0,0
"AL","Nordeste","1996",73,1,0,0,0,0,0,0,0
"AL","Nordeste","1996",82,2,0,0,0,0,0,0,0
"AL","Nordeste","1997",40,1,0,0,0,0,0,0,0
"AL","Nordeste","1997",47,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",19,0,0,0,0,1,0,0,0
"AL","Nordeste","1998",26,0,0,0,0,1,0,0,0
"AL","Nordeste","1998",28,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",30,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",31,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",39,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",40,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",43,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",44,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",46,1,0,0,0,0,0,0,0
"AL","Nordeste","1998",49,2,0,0,0,0,0,0,0
"AL","Nordeste","1998",76,0,0,0,0,1,0,0,0
"AL","Nordeste","1999",19,0,0,1,0,0,0,0,0
"AL","Nordeste","1999",23,2,0,0,0,0,0,0,0
"AL","Nordeste","1999",26,0,1,0,0,0,0,0,0
"AL","Nordeste","1999",29,1,0,0,0,0,0,0,0
"AL","Nordeste","1999",36,0,0,1,0,0,0,0,0
"AL","Nordeste","1999",38,0,0,1,0,0,0,0,0
