"codmunres","res_codigo_adotado","municipio","uf","nome_uf","regiao"
"110000","110000","Município ignorado - RO","RO","RONDONIA","Norte"
"1100000","110000","Município ignorado - RO","RO","RONDONIA","Norte"
"110001","110001","Alta Floresta D'Oeste","RO","RONDONIA","Norte"
"1100015","110001","Alta Floresta D'Oeste","RO","RONDONIA","Norte"
"110002","110002","Ariquemes","RO","RONDONIA","Norte"
"1100023","110002","Ariquemes","RO","RONDONIA","Norte"
"110003","110003","Cabixi","RO","RONDONIA","Norte"
"1100031","110003","Cabixi","RO","RONDONIA","Norte"
"110004","110004","Cacoal","RO","RONDONIA","Norte"
"1100049","110004","Cacoal","RO","RONDONIA","Norte"
"110005","110005","Cerejeiras","RO","RONDONIA","Norte"
"1100056","110005","Cerejeiras","RO","RONDONIA","Norte"
"110006","110006","Colorado do Oeste","RO","RONDONIA","Norte"
"1100064","110006","Colorado do Oeste","RO","RONDONIA","Norte"
"110007","110007","Corumbiara","RO","RONDONIA","Norte"
"1100072","110007","Corumbiara","RO","RONDONIA","Norte"
"110008","110008","Costa Marques","RO","RONDONIA","Norte"
"1100080","110008","Costa Marques","RO","RONDONIA","Norte"
"110009","110009","Espigão D'Oeste","RO","RONDONIA","Norte"
"1100098","110009","Espigão D'Oeste","RO","RONDONIA","Norte"
"110010","110010","Guajará-Mirim","RO","RONDONIA","Norte"
"1100106","110010","Guajará-Mirim","RO","RONDONIA","Norte"
"110011","110011","Jaru","RO","RONDONIA","Norte"
"1100114","110011","Jaru","RO","RONDONIA","Norte"
"110012","110012","Ji-Paraná","RO","RONDONIA","Norte"
"1100122","110012","Ji-Paraná","RO","RONDONIA","Norte"
"110013","110013","Machadinho D'Oeste","RO","RONDONIA","Norte"
"1100130","110013","Machadinho D'Oeste","RO","RONDONIA","Norte"
"110014","110014","Nova Brasilândia D'Oeste","RO","RONDONIA","Norte"
"1100148","110014","Nova Brasilândia D'Oeste","RO","RONDONIA","Norte"
"110015","110015","Ouro Preto do Oeste","RO","RONDONIA","Norte"
"1100155","110015","Ouro Preto do Oeste","RO","RONDONIA","Norte"
"110018","110018","Pimenta Bueno","RO","RONDONIA","Norte"
"1100189","110018","Pimenta Bueno","RO","RONDONIA","Norte"
"110020","110020","Porto Velho","RO","RONDONIA","Norte"
"1100205","110020","Porto Velho","RO","RONDONIA","Norte"
"110025","110025","Presidente Médici","RO","RONDONIA","Norte"
"1100254","110025","Presidente Médici","RO","RONDONIA","Norte"
"110026","110026","Rio Crespo","RO","RONDONIA","Norte"
"1100262","110026","Rio Crespo","RO","RONDONIA","Norte"
"110028","110028","Rolim de Moura","RO","RONDONIA","Norte"
"1100288","110028","Rolim de Moura","RO","RONDONIA","Norte"
"110029","110029","Santa Luzia D'Oeste","RO","RONDONIA","Norte"
"1100296","110029","Santa Luzia D'Oeste","RO","RONDONIA","Norte"
"110030","110030","Vilhena","RO","RONDONIA","Norte"
"1100304","110030","Vilhena","RO","RONDONIA","Norte"
"110032","110032","São Miguel do Guaporé","RO","RONDONIA","Norte"
"1100320","110032","São Miguel do Guaporé","RO","RONDONIA","Norte"
"110033","110033","Nova Mamoré","RO","RONDONIA","Norte"
"1100338","110033","Nova Mamoré","RO","RONDONIA","Norte"
"110034","110034","Alvorada D'Oeste","RO","RONDONIA","Norte"
"1100346","110034","Alvorada D'Oeste","RO","RONDONIA","Norte"
"110037","110037","Alto Alegre dos Parecis","RO","RONDONIA","Norte"
"1100379","110037","Alto Alegre dos Parecis","RO","RONDONIA","Norte"
"110040","110040","Alto Paraíso","RO","RONDONIA","Norte"
"1100403","110040","Alto Paraíso","RO","RONDONIA","Norte"
"110045","110045","Buritis","RO","RONDONIA","Norte"
"1100452","110045","Buritis","RO","RONDONIA","Norte"
"110050","110050","Novo Horizonte do Oeste","RO","RONDONIA","Norte"
"1100502","110050","Novo Horizonte do Oeste","RO","RONDONIA","Norte"
"110060","110060","Cacaulândia","RO","RONDONIA","Norte"
"1100601","110060","Cacaulândia","RO","RONDONIA","Norte"
"110070","110070","Campo Novo de Rondônia","RO","RONDONIA","Norte"
"1100700","110070","Campo Novo de Rondônia","RO","RONDONIA","Norte"
"110080","110080","Candeias do Jamari","RO","RONDONIA","Norte"
"1100809","110080","Candeias do Jamari","RO","RONDONIA","Norte"
"110090","110090","Castanheiras","RO","RONDONIA","Norte"
"1100908","110090","Castanheiras","RO","RONDONIA","Norte"
"110092","110092","Chupinguaia","RO","RONDONIA","Norte"
"1100924","110092","Chupinguaia","RO","RONDONIA","Norte"
"110094","110094","Cujubim","RO","RONDONIA","Norte"
"1100940","110094","Cujubim","RO","RONDONIA","Norte"
"110100","110100","Governador Jorge Teixeira","RO","RONDONIA","Norte"
"1101005","110100","Governador Jorge Teixeira","RO","RONDONIA","Norte"
"110110","110110","Itapuã do Oeste","RO","RONDONIA","Norte"
"1101104","110110","Itapuã do Oeste","RO","RONDONIA","Norte"
"110120","110120","Ministro Andreazza","RO","RONDONIA","Norte"
"1101203","110120","Ministro Andreazza","RO","RONDONIA","Norte"
"110130","110130","Mirante da Serra","RO","RONDONIA","Norte"
"1101302","110130","Mirante da Serra","RO","RONDONIA","Norte"
"110140","110140","Monte Negro","RO","RONDONIA","Norte"
"1101401","110140","Monte Negro","RO","RONDONIA","Norte"
"110143","110143","Nova União","RO","RONDONIA","Norte"
"1101435","110143","Nova União","RO","RONDONIA","Norte"
"110145","110145","Parecis","RO","RONDONIA","Norte"
"1101450","110145","Parecis","RO","RONDONIA","Norte"
"110146","110146","Pimenteiras do Oeste","RO","RONDONIA","Norte"
"1101468","110146","Pimenteiras do Oeste","RO","RONDONIA","Norte"
"110147","110147","Primavera de Rondônia","RO","RONDONIA","Norte"
"1101476","110147","Primavera de Rondônia","RO","RONDONIA","Norte"
"110148","110148","São Felipe D'Oeste","RO","RONDONIA","Norte"
"1101484","110148","São Felipe D'Oeste","RO","RONDONIA","Norte"
"110149","110149","São Francisco do Guaporé","RO","RONDONIA","Norte"
"1101492","110149","São Francisco do Guaporé","RO","RONDONIA","Norte"
"110150","110150","Seringueiras","RO","RONDONIA","Norte"
"1101500","110150","Seringueiras","RO","RONDONIA","Norte"
"110155","110155","Teixeirópolis","RO","RONDONIA","Norte"
"1101559","110155","Teixeirópolis","RO","RONDONIA","Norte"
"110160","110160","Theobroma","RO","RONDONIA","Norte"
"1101609","110160","Theobroma","RO","RONDONIA","Norte"
"110170","110170","Urupá","RO","RONDONIA","Norte"
"1101708","110170","Urupá","RO","RONDONIA","Norte"
"110175","110175","Vale do Anari","RO","RONDONIA","Norte"
"1101757","110175","Vale do Anari","RO","RONDONIA","Norte"
"110180","110180","Vale do Paraíso","RO","RONDONIA","Norte"
"1101807","110180","Vale do Paraíso","RO","RONDONIA","Norte"
"120000","120000","Município ignorado - AC","AC","ACRE","Norte"
"1200000","120000","Município ignorado - AC","AC","ACRE","Norte"
"120001","120001","Acrelândia","AC","ACRE","Norte"
"1200013","120001","Acrelândia","AC","ACRE","Norte"
