"CAUSABAS","capitulo_cid10","causabas_categoria"
"A00"," I - Algumas doenças infecciosas e parasitárias","Cólera"
"A01"," I - Algumas doenças infecciosas e parasitárias","Febres tifóide e paratifóide"
"A02"," I - Algumas doenças infecciosas e parasitárias","Outras infecções por Salmonella"
"A03"," I - Algumas doenças infecciosas e parasitárias","Shiguelose"
"A04"," I - Algumas doenças infecciosas e parasitárias","Outras infecções intestinais bacterianas"
"A05"," I - Algumas doenças infecciosas e parasitárias","Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
"A06"," I - Algumas doenças infecciosas e parasitárias","Amebíase"
"A07"," I - Algumas doenças infecciosas e parasitárias","Outras doenças intestinais por protozoários"
"A08"," I - Algumas doenças infecciosas e parasitárias","Infecções intestinais virais, outras e as não especificadas"
"A09"," I - Algumas doenças infecciosas e parasitárias","Diarréia e gastroenterite de origem infecciosa presumível"
"A15"," I - Algumas doenças infecciosas e parasitárias","Tuberculose respiratória, com confirmação bacteriológica e histológica"
"A16"," I - Algumas doenças infecciosas e parasitárias","Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
"A17"," I - Algumas doenças infecciosas e parasitárias","Tuberculose do sistema nervoso"
"A18"," I - Algumas doenças infecciosas e parasitárias","Tuberculose de outros órgãos"
"A19"," I - Algumas doenças infecciosas e parasitárias","Tuberculose miliar"
"A20"," I - Algumas doenças infecciosas e parasitárias","Peste"
"A21"," I - Algumas doenças infecciosas e parasitárias","Tularemia"
"A22"," I - Algumas doenças infecciosas e parasitárias","Carbúnculo"
"A23"," I - Algumas doenças infecciosas e parasitárias","Brucelose"
"A24"," I - Algumas doenças infecciosas e parasitárias","Mormo e melioidose"
"A25"," I - Algumas doenças infecciosas e parasitárias","Febres transmitidas por mordedura de rato"
"A26"," I - Algumas doenças infecciosas e parasitárias","Erisipelóide"
"A27"," I - Algumas doenças infecciosas e parasitárias","Leptospirose"
"A28"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas zoonóticas não classificadas em outra parte"
"A30"," I - Algumas doenças infecciosas e parasitárias","Hanseníase [doença de Hansen] [lepra]"
"A31"," I - Algumas doenças infecciosas e parasitárias","Infecções devidas a outras micobactérias"
"A32"," I - Algumas doenças infecciosas e parasitárias","Listeriose [listeríase]"
"A33"," I - Algumas doenças infecciosas e parasitárias","Tétano do recém-nascido [neonatal]"
"A34"," I - Algumas doenças infecciosas e parasitárias","Tétano obstétrico"
"A35"," I - Algumas doenças infecciosas e parasitárias","Outros tipos de tétano"
"A36"," I - Algumas doenças infecciosas e parasitárias","Difteria"
"A37"," I - Algumas doenças infecciosas e parasitárias","Coqueluche"
"A38"," I - Algumas doenças infecciosas e parasitárias","Escarlatina"
"A39"," I - Algumas doenças infecciosas e parasitárias","Infecção meningogócica"
"A40"," I - Algumas doenças infecciosas e parasitárias","Septicemia estreptocócica"
"A41"," I - Algumas doenças infecciosas e parasitárias","Outras septicemias"
"A42"," I - Algumas doenças infecciosas e parasitárias","Actinomicose"
"A43"," I - Algumas doenças infecciosas e parasitárias","Nocardiose"
"A44"," I - Algumas doenças infecciosas e parasitárias","Bartonelose"
"A46"," I - Algumas doenças infecciosas e parasitárias","Erisipela"
"A48"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas não classificadas em outra parte"
"A49"," I - Algumas doenças infecciosas e parasitárias","Infecção bacteriana de localização não especificada"
"A50"," I - Algumas doenças infecciosas e parasitárias","Sífilis congênita"
"A51"," I - Algumas doenças infecciosas e parasitárias","Sífilis precoce"
"A52"," I - Algumas doenças infecciosas e parasitárias","Sífilis tardia"
"A53"," I - Algumas doenças infecciosas e parasitárias","Outras formas e as não especificadas da sífilis"
"A54"," I - Algumas doenças infecciosas e parasitárias","Infecção gonocócica"
"A55"," I - Algumas doenças infecciosas e parasitárias","Linfogranuloma (venéreo) por clamídia"
"A56"," I - Algumas doenças infecciosas e parasitárias","Outras infecções causadas por clamídias transmitidas por via sexual"
"A57"," I - Algumas doenças infecciosas e parasitárias","Cancro mole"
"A58"," I - Algumas doenças infecciosas e parasitárias","Granuloma inguinal"
"A59"," I - Algumas doenças infecciosas e parasitárias","Tricomoníase"
"A60"," I - Algumas doenças infecciosas e parasitárias","Infecções anogenitais pelo vírus do herpes [herpes simples]"
"A63"," I - Algumas doenças infecciosas e parasitárias","Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
"A64"," I - Algumas doenças infecciosas e parasitárias","Doenças sexualmente transmitidas, não especificadas"
"A65"," I - Algumas doenças infecciosas e parasitárias","Sífilis não-venérea"
"A66"," I - Algumas doenças infecciosas e parasitárias","Bouba"
"A67"," I - Algumas doenças infecciosas e parasitárias","Pinta [carate]"
"A68"," I - Algumas doenças infecciosas e parasitárias","Febres recorrentes [Borrelioses]"
"A69"," I - Algumas doenças infecciosas e parasitárias","Outras infecções por espiroquetas"
"A70"," I - Algumas doenças infecciosas e parasitárias","Infecções causadas por Clamídia psittaci"
"A71"," I - Algumas doenças infecciosas e parasitárias","Tracoma"
"A74"," I - Algumas doenças infecciosas e parasitárias","Outras doenças causadas por Clamídias"
"A75"," I - Algumas doenças infecciosas e parasitárias","Tifo exantemático"
"A77"," I - Algumas doenças infecciosas e parasitárias","Febre maculosa [rickettsioses transmitidas por carrapatos]"
"A78"," I - Algumas doenças infecciosas e parasitárias","Febre Q"
"A79"," I - Algumas doenças infecciosas e parasitárias","Outras rickettsioses"
"A80"," I - Algumas doenças infecciosas e parasitárias","Poliomielite aguda"
"A81"," I - Algumas doenças infecciosas e parasitárias","Infecções por vírus atípicos do sistema nervoso central"
"A82"," I - Algumas doenças infecciosas e parasitárias","Raiva"
"A83"," I - Algumas doenças infecciosas e parasitárias","Encefalite por vírus transmitidos por mosquitos"
"A84"," I - Algumas doenças infecciosas e parasitárias","Encefalite por vírus transmitido por carrapatos"
"A85"," I - Algumas doenças infecciosas e parasitárias","Outras encefalites virais, não classificadas em outra parte"
"A86"," I - Algumas doenças infecciosas e parasitárias","Encefalite viral, não especificada"
"A87"," I - Algumas doenças infecciosas e parasitárias","Meningite viral"
"A88"," I - Algumas doenças infecciosas e parasitárias","Outras infecções virais do sistema nervoso central não classificadas em outra parte"
"A89"," I - Algumas doenças infecciosas e parasitárias","Infecções virais não especificadas do sistema nervoso central"
"A90"," I - Algumas doenças infecciosas e parasitárias","Dengue [dengue clássico]"
"A91"," I - Algumas doenças infecciosas e parasitárias","Febre hemorrágica devida ao vírus do dengue"
"A92"," I - Algumas doenças infecciosas e parasitárias","Outras febres virais transmitidas por mosquitos"
"A93"," I - Algumas doenças infecciosas e parasitárias","Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte"
"A94"," I - Algumas doenças infecciosas e parasitárias","Febre viral transmitida por artrópodes, não especificada"
"A95"," I - Algumas doenças infecciosas e parasitárias","Febre amarela"
"A96"," I - Algumas doenças infecciosas e parasitárias","Febre hemorrágica por arenavírus"
"A98"," I - Algumas doenças infecciosas e parasitárias","Outras febres hemorrágicas por vírus, não classificadas em outra parte"
"A99"," I - Algumas doenças infecciosas e parasitárias","Febres hemorrágicas virais não especificadas"
"B00"," I - Algumas doenças infecciosas e parasitárias","Infecções pelo vírus do herpes [herpes simples]"
"B01"," I - Algumas doenças infecciosas e parasitárias","Varicela [Catapora]"
"B02"," I - Algumas doenças infecciosas e parasitárias","Herpes zoster [Zona]"
"B03"," I - Algumas doenças infecciosas e parasitárias","Varíola"
"B04"," I - Algumas doenças infecciosas e parasitárias","Varíola dos macacos [Monkeypox]"
"B05"," I - Algumas doenças infecciosas e parasitárias","Sarampo"
"B06"," I - Algumas doenças infecciosas e parasitárias","Rubéola"
"B07"," I - Algumas doenças infecciosas e parasitárias","Verrugas de origem viral"
"B08"," I - Algumas doenças infecciosas e parasitárias","Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
"B09"," I - Algumas doenças infecciosas e parasitárias","Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas"
"B15"," I - Algumas doenças infecciosas e parasitárias","Hepatite aguda A"
"B16"," I - Algumas doenças infecciosas e parasitárias","Hepatite aguda B"
"B17"," I - Algumas doenças infecciosas e parasitárias","Outras hepatites virais agudas"
"B18"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral crônica"
"B19"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral não especificada"
"B20"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
"B21"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas"
"B22"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas"
"B23"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças"
"B24"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV] não especificada"
"B25"," I - Algumas doenças infecciosas e parasitárias","Doença por citomegalovírus"
"B26"," I - Algumas doenças infecciosas e parasitárias","Caxumba [Parotidite epidêmica]"
"B27"," I - Algumas doenças infecciosas e parasitárias","Mononucleose infecciosa"
"B30"," I - Algumas doenças infecciosas e parasitárias","Conjuntivite viral"
"B33"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus não classificada em outra parte"
"B34"," I - Algumas doenças infecciosas e parasitárias","Doenças por vírus, de localização não especificada"
"B35"," I - Algumas doenças infecciosas e parasitárias","Dermatofitose"
"B36"," I - Algumas doenças infecciosas e parasitárias","Outras micoses superficiais"
"B37"," I - Algumas doenças infecciosas e parasitárias","Candidíase"
"B38"," I - Algumas doenças infecciosas e parasitárias","Coccidioidomicose"
"B39"," I - Algumas doenças infecciosas e parasitárias","Histoplasmose"
"B40"," I - Algumas doenças infecciosas e parasitárias","Blastomicose"
"B41"," I - Algumas doenças infecciosas e parasitárias","Paracoccidioidomicose"
"B42"," I - Algumas doenças infecciosas e parasitárias","Esporotricose"
"B43"," I - Algumas doenças infecciosas e parasitárias","Cromomicose e abscesso feomicótico"
"B44"," I - Algumas doenças infecciosas e parasitárias","Aspergilose"
"B45"," I - Algumas doenças infecciosas e parasitárias","Criptococose"
"B46"," I - Algumas doenças infecciosas e parasitárias","Zigomicose"
"B47"," I - Algumas doenças infecciosas e parasitárias","Micetoma"
"B48"," I - Algumas doenças infecciosas e parasitárias","Outras micoses, não classificadas em outra parte"
"B49"," I - Algumas doenças infecciosas e parasitárias","Micose não especificada"
"B50"," I - Algumas doenças infecciosas e parasitárias","Malária por Plasmodium falciparum"
"B51"," I - Algumas doenças infecciosas e parasitárias","Malária por Plasmodium vivax"
"B52"," I - Algumas doenças infecciosas e parasitárias","Malária por Plasmodium malariae"
"B53"," I - Algumas doenças infecciosas e parasitárias","Outras formas de malária confirmadas por exames parasitológicos"
"B54"," I - Algumas doenças infecciosas e parasitárias","Malária não especificada"
"B55"," I - Algumas doenças infecciosas e parasitárias","Leishmaniose"
"B56"," I - Algumas doenças infecciosas e parasitárias","Tripanossomíase africana"
"B57"," I - Algumas doenças infecciosas e parasitárias","Doença de Chagas"
"B58"," I - Algumas doenças infecciosas e parasitárias","Toxoplasmose"
"B59"," I - Algumas doenças infecciosas e parasitárias","Pneumocistose"
"B60"," I - Algumas doenças infecciosas e parasitárias","Outras doenças devidas a protozoários, não classificadas em outra parte"
"B64"," I - Algumas doenças infecciosas e parasitárias","Doença não especificada devida a protozoários"
"B65"," I - Algumas doenças infecciosas e parasitárias","Esquistossomose [bilharziose] [Schistosomíase]"
"B66"," I - Algumas doenças infecciosas e parasitárias","Outras infestações por trematódeos"
"B67"," I - Algumas doenças infecciosas e parasitárias","Equinococose"
"B68"," I - Algumas doenças infecciosas e parasitárias","Infestação por Taenia"
"B69"," I - Algumas doenças infecciosas e parasitárias","Cisticercose"
"B70"," I - Algumas doenças infecciosas e parasitárias","Difilobotríase e esparganose"
"B71"," I - Algumas doenças infecciosas e parasitárias","Outras infestações por cestóides"
"B72"," I - Algumas doenças infecciosas e parasitárias","Dracontíase"
"B73"," I - Algumas doenças infecciosas e parasitárias","Oncocercose"
"B74"," I - Algumas doenças infecciosas e parasitárias","Filariose"
"B75"," I - Algumas doenças infecciosas e parasitárias","Triquinose"
"B76"," I - Algumas doenças infecciosas e parasitárias","Ancilostomíase"
"B77"," I - Algumas doenças infecciosas e parasitárias","Ascaridíase"
"B78"," I - Algumas doenças infecciosas e parasitárias","Estrongiloidíase"
"B79"," I - Algumas doenças infecciosas e parasitárias","Tricuríase"
"B80"," I - Algumas doenças infecciosas e parasitárias","Oxiuríase"
"B81"," I - Algumas doenças infecciosas e parasitárias","Outras helmintíases intestinais, não classificadas em outra parte"
"B82"," I - Algumas doenças infecciosas e parasitárias","Parasitose intestinal não especificada"
"B83"," I - Algumas doenças infecciosas e parasitárias","Outras helmintíases"
"B85"," I - Algumas doenças infecciosas e parasitárias","Pediculose e ftiríase"
"B86"," I - Algumas doenças infecciosas e parasitárias","Escabiose [sarna]"
"B87"," I - Algumas doenças infecciosas e parasitárias","Miíase"
"B88"," I - Algumas doenças infecciosas e parasitárias","Outras infestações"
"B89"," I - Algumas doenças infecciosas e parasitárias","Doença parasitária não especificada"
"B90"," I - Algumas doenças infecciosas e parasitárias","Seqüelas de tuberculose"
"B91"," I - Algumas doenças infecciosas e parasitárias","Seqüelas de poliomielite"
"B92"," I - Algumas doenças infecciosas e parasitárias","Seqüelas de hanseníase [lepra]"
"B94"," I - Algumas doenças infecciosas e parasitárias","Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas"
"B95"," I - Algumas doenças infecciosas e parasitárias","Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos"
"B96"," I - Algumas doenças infecciosas e parasitárias","Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos"
"B97"," I - Algumas doenças infecciosas e parasitárias","Vírus como causa de doenças classificadas em outros capítulos"
"B99"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas, outras e as não especificadas"
"C00"," II - Neoplasias [tumores]","Neoplasia maligna do lábio"
"C01"," II - Neoplasias [tumores]","Neoplasia maligna da base da língua"
"C02"," II - Neoplasias [tumores]","Neoplasia maligna de outras partes e de partes não especificadas da língua"
"C03"," II - Neoplasias [tumores]","Neoplasia maligna da gengiva"
"C04"," II - Neoplasias [tumores]","Neoplasia maligna do assoalho da boca"
"C05"," II - Neoplasias [tumores]","Neoplasia maligna do palato"
"C06"," II - Neoplasias [tumores]","Neoplasia maligna de outras partes e de partes não especificadas da boca"
"C07"," II - Neoplasias [tumores]","Neoplasia maligna da glândula parótida"
"C08"," II - Neoplasias [tumores]","Neoplasia maligna de outras glândulas salivares maiores e as não especificadas"
"C09"," II - Neoplasias [tumores]","Neoplasia maligna da amígdala"
"C10"," II - Neoplasias [tumores]","Neoplasia maligna da orofaringe"
"C11"," II - Neoplasias [tumores]","Neoplasia maligna da nasofaringe"
"C12"," II - Neoplasias [tumores]","Neoplasia maligna do seio piriforme"
"C13"," II - Neoplasias [tumores]","Neoplasia maligna da hipofaringe"
