"uf","regiao","ano","idade","obitos_maternos","obitos_descons_durante_a_gravidez_parto_ou_aborto_exceto_ext","obitos_descons_durante_o_puerperio_ate_42_dias_exceto_ext","obitos_descons_durante_o_puerperio_de_43_dias_a_menos_de_1_ano_exceto_ext","obitos_descons_periodo_inconsistente_exceto_ext","obitos_descons_durante_a_gravidez_parto_ou_aborto_ext","obitos_descons_durante_o_puerperio_ate_42_dias_ext","obitos_descons_durante_o_puerperio_de_43_dias_a_menos_de_1_ano_ext","obitos_descons_periodo_inconsistente_ext"
"AC","Norte",1996,17,0,1,0,0,0,0,0,0,0
"AC","Norte",1996,18,1,2,0,0,0,0,0,0,0
"AC","Norte",1996,29,0,0,0,0,0,1,0,0,0
"AC","Norte",1996,33,0,1,0,0,0,0,0,0,0
"AC","Norte",1996,36,0,0,0,0,0,1,0,0,0
"AC","Norte",1996,40,0,1,0,0,0,0,0,0,0
"AC","Norte",1997,31,0,1,0,0,0,0,0,0,0
"AC","Norte",1998,14,1,1,0,0,0,0,0,0,0
"AC","Norte",1998,18,0,0,0,0,0,1,0,0,0
"AC","Norte",1998,23,1,1,0,0,0,0,0,0,0
"AC","Norte",1999,16,0,0,0,0,0,1,0,0,0
"AC","Norte",1999,17,0,1,0,0,0,1,0,0,0
"AC","Norte",1999,18,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,22,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,23,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,25,0,0,0,0,0,1,0,0,0
"AC","Norte",1999,27,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,29,1,2,0,0,0,0,0,0,0
"AC","Norte",1999,32,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,37,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,38,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,40,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,41,0,1,0,0,0,0,0,0,0
"AC","Norte",1999,44,0,1,0,0,0,0,0,0,0
"AC","Norte",2000,20,1,0,0,0,0,1,0,0,0
"AC","Norte",2000,32,0,1,0,1,0,0,0,0,0
"AC","Norte",2000,38,0,1,0,0,0,0,0,0,0
"AC","Norte",2000,41,1,1,0,0,0,0,0,0,0
"AC","Norte",2000,43,0,1,0,0,0,0,0,0,0
"AC","Norte",2001,26,0,1,0,0,0,0,0,0,0
"AC","Norte",2002,27,1,0,0,0,1,0,0,0,0
"AC","Norte",2002,32,0,0,0,1,0,0,0,0,0
"AC","Norte",2003,18,0,1,0,0,0,0,0,0,0
"AC","Norte",2003,26,2,0,0,0,1,0,0,0,0
"AC","Norte",2004,27,0,1,1,0,0,0,0,0,0
"AC","Norte",2004,28,1,0,1,0,0,0,0,0,0
"AC","Norte",2004,38,0,1,0,0,0,0,0,0,0
"AC","Norte",2004,39,0,0,0,1,0,0,0,0,0
"AC","Norte",2005,14,0,0,0,1,0,0,0,0,0
"AC","Norte",2005,18,0,0,0,0,0,0,0,1,0
"AC","Norte",2005,23,0,0,0,0,0,1,0,0,0
"AC","Norte",2005,25,0,0,1,0,0,0,0,0,0
"AC","Norte",2005,27,1,0,0,1,0,0,0,0,0
"AC","Norte",2005,31,0,0,0,0,1,0,0,0,0
"AC","Norte",2006,20,0,1,0,0,0,0,0,0,0
"AC","Norte",2006,26,0,1,0,0,0,0,0,0,0
"AC","Norte",2006,29,0,1,0,0,0,0,0,0,0
"AC","Norte",2006,30,0,0,0,0,0,0,0,1,0
"AC","Norte",2006,31,0,1,0,0,0,0,0,0,0
"AC","Norte",2006,39,0,0,0,0,0,1,0,0,0
"AC","Norte",2006,42,0,2,0,1,0,0,0,0,0
"AC","Norte",2006,45,0,1,0,0,0,0,0,0,0
"AC","Norte",2006,53,0,0,0,1,0,0,0,0,0
"AC","Norte",2006,65,0,1,0,0,0,0,0,0,0
"AC","Norte",2007,12,0,0,0,0,0,1,0,0,0
"AC","Norte",2007,15,0,0,0,0,0,1,0,0,0
"AC","Norte",2007,21,0,0,0,0,0,0,0,1,0
"AC","Norte",2007,24,1,0,1,0,0,0,0,0,0
"AC","Norte",2007,26,1,0,0,1,0,0,0,0,0
"AC","Norte",2007,28,1,0,0,0,0,1,0,1,0
